time,rssi,distance
1522279,-76,500
1470579,-77,500
1484790,-77,500
1491869,-77,500
1495899,-77,500
1512140,-77,500
1518237,-77,500
1478703,-78,500
1497942,-78,500
1507063,-78,500
1509091,-78,500
1521258,-78,500
1527354,-78,500
1468550,-79,500
1477683,-79,500
1516196,-79,500
1466511,-81,500
1514156,-81,500
1525326,-81,500
1528373,-81,500
1492877,-82,500
1508070,-82,500
1475642,-83,500
1493883,-83,500
1479711,-84,500
1487825,-84,500
1471598,-85,500
1526347,-85,500
1473613,-86,500
1524307,-86,500
1523299,-87,500
1472607,-90,500
1474635,-94,500
1577094,-72,550
1542624,-73,550
1571025,-73,550
1592296,-73,550
1598393,-73,550
1546692,-74,550
1572033,-74,550
1573040,-74,550
1585204,-74,550
1595344,-74,550
1578102,-75,550
1591275,-75,550
1550773,-76,550
1560913,-76,550
1561920,-76,550
1570018,-76,550
1579110,-76,550
1586212,-76,550
1594324,-76,550
1548733,-78,550
1554829,-78,550
1566970,-78,550
1567977,-78,550
1580130,-78,550
1587233,-78,550
1588253,-78,550
1596365,-78,550
1599412,-78,550
1539563,-79,550
1547712,-79,550
1583177,-79,550
1602473,-79,550
1541603,-80,550
1562927,-80,550
1543643,-81,550
1545672,-81,550
1568998,-81,550
1581137,-81,550
1589260,-81,550
1590268,-81,550
1556856,-82,550
1558883,-82,550
1574047,-82,550
1601453,-82,550
1563934,-83,550
1565948,-83,550
1600432,-83,550
1549753,-84,550
1551794,-84,550
1552800,-86,550
1564942,-86,550
1582156,-86,550
1593316,-86,550
1540583,-88,550
1597385,-88,550
1557865,-90,550
1559905,-90,550
1553808,-91,550
1544665,-92,550
1576074,-92,550
1584198,-92,550
1555836,-94,550
1575067,-94,550
1654306,-78,600
1614664,-80,600
1633986,-80,600
1638043,-80,600
1665454,-80,600
1664447,-81,600
1618732,-82,600
1629904,-82,600
1645162,-82,600
1647202,-82,600
1656346,-82,600
1672558,-82,600
1620761,-83,600
1621769,-83,600
1643133,-83,600
1615685,-84,600
1617725,-84,600
1644153,-84,600
1651257,-84,600
1653286,-84,600
1657353,-84,600
1662432,-84,600
1666463,-84,600
1619740,-85,600
1628884,-85,600
1663439,-85,600
1670530,-85,600
1639063,-86,600
1649229,-86,600
1658362,-86,600
1669510,-86,600
1616705,-87,600
1642112,-87,600
1661412,-87,600
1626857,-88,600
1632966,-88,600
1655326,-88,600
1667482,-88,600
1625837,-89,600
1627877,-89,600
1636014,-89,600
1637022,-89,600
1650250,-89,600
1677624,-89,600
1624816,-90,600
1631946,-90,600
1634994,-90,600
1641092,-90,600
1660391,-90,600
1622789,-91,600
1668490,-91,600
1674587,-91,600
1676616,-91,600
1646181,-92,600
1659370,-92,600
1623809,-93,600
1648210,-93,600
1652265,-93,600
1675608,-93,600
1630925,-94,600
1640084,-94,600
1671551,-94,600
1673580,-94,600
1715195,-72,650
1747669,-73,650
1699954,-74,650
1710104,-74,650
1726354,-74,650
1736521,-74,650
1700961,-75,650
1711125,-75,650
1742605,-75,650
1751712,-75,650
1689803,-76,650
1694879,-76,650
1714174,-76,650
1716215,-76,650
1741597,-76,650
1746661,-76,650
1706037,-77,650
1731431,-77,650
1735514,-77,650
1692838,-78,650
1696919,-78,650
1705017,-78,650
1720271,-78,650
1732453,-78,650
1743613,-78,650
1748676,-78,650
1752732,-78,650
